Districts,Price m?,Year,,,,
Set彙al,"5,3 ﾛ/m2",2016,,,,
Viana do Castelo,"4,0 ﾛ/m2",2016,,,,
Vila Real,"3,6 ﾛ/m2",2016,,,,
Viseu,"3,2 ﾛ/m2",2016,,,,
Aveiro,"3,9 ﾛ/m2",2015,,,,
Beja,"4,2 ﾛ/m2",2015,,,,
Braga,"3,5 ﾛ/m2",2015,,,,
Castelo Branco,"3,1 ﾛ/m2",2015,,,,
Coimbra,"4,5 ﾛ/m2",2015,,,,
プora,"5,5 ﾛ/m2",2015,,,,
Faro,"5,3 ﾛ/m2",2015,,,,
Leiria,"3,7 ﾛ/m2",2015,,,,
Lisboa,"7,6 ﾛ/m2",2015,,,,
Madeira (Ilha),"4,9 ﾛ/m2",2015,,,,
Portalegre,"3,3 ﾛ/m2",2015,,,,
Porto,"5,3 ﾛ/m2",2015,,,,
Santar士,"3,4 ﾛ/m2",2015,,,,
Set彙al,"4,8 ﾛ/m2",2015,,,,
Viana do Castelo,"4,2 ﾛ/m2",2015,,,,
Vila Real,"3,4 ﾛ/m2",2015,,,,
Viseu,"3,6 ﾛ/m2",2015,,,,
