Districts,Price m?,Year,,,,
Lisboa,3.290 ﾛ/m2,2020,,,,
Madeira (Ilha),1.683 ﾛ/m2,2020,,,,
Pico (Ilha),997 ﾛ/m2,2020,,,,
Portalegre,634 ﾛ/m2,2020,,,,
Porto,2.107 ﾛ/m2,2020,,,,
Porto Santo (Ilha),1.348 ﾛ/m2,2020,,,,
Santar士,792 ﾛ/m2,2020,,,,
S黍 Miguel (ilha),1.068 ﾛ/m2,2020,,,,
Set彙al,1.688 ﾛ/m2,2020,,,,
Terceira (Ilha),840 ﾛ/m2,2020,,,,
Viana do Castelo,1.008 ﾛ/m2,2020,,,,
Vila Real,853 ﾛ/m2,2020,,,,
Viseu,868 ﾛ/m2,2020,,,,
Aveiro,1.089 ﾛ/m2,2019,,,,
Beja,802 ﾛ/m2,2019,,,,
Braga,971 ﾛ/m2,2019,,,,
Bragan溝,747 ﾛ/m2,2019,,,,
Castelo Branco,678 ﾛ/m2,2019,,,,
Coimbra,1.068 ﾛ/m2,2019,,,,
プora,873 ﾛ/m2,2019,,,,
Faial (Ilha),704 ﾛ/m2,2019,,,,
Faro,2.189 ﾛ/m2,2019,,,,
Guarda,670 ﾛ/m2,2019,,,,
Leiria,1.114 ﾛ/m2,2019,,,,
Lisboa,3.222 ﾛ/m2,2019,,,,
Madeira (Ilha),1.552 ﾛ/m2,2019,,,,
Pico (Ilha),846 ﾛ/m2,2019,,,,
Portalegre,635 ﾛ/m2,2019,,,,
Porto,1.922 ﾛ/m2,2019,,,,
Porto Santo (Ilha),1.294 ﾛ/m2,2019,,,,
Santar士,759 ﾛ/m2,2019,,,,
S黍 Miguel (ilha),966 ﾛ/m2,2019,,,,
Set彙al,1.532 ﾛ/m2,2019,,,,
Terceira (Ilha),827 ﾛ/m2,2019,,,,
Viana do Castelo,976 ﾛ/m2,2019,,,,
Vila Real,733 ﾛ/m2,2019,,,,
Viseu,758 ﾛ/m2,2019,,,,
Aveiro,994 ﾛ/m2,2018,,,,
Beja,793 ﾛ/m2,2018,,,,
Braga,911 ﾛ/m2,2018,,,,
Bragan溝,688 ﾛ/m2,2018,,,,
Castelo Branco,668 ﾛ/m2,2018,,,,
Coimbra,996 ﾛ/m2,2018,,,,
プora,847 ﾛ/m2,2018,,,,
Faial (Ilha),954 ﾛ/m2,2018,,,,
Faro,2.032 ﾛ/m2,2018,,,,
Guarda,656 ﾛ/m2,2018,,,,
Leiria,1.054 ﾛ/m2,2018,,,,
Lisboa,2.919 ﾛ/m2,2018,,,,
Madeira (Ilha),1.442 ﾛ/m2,2018,,,,
Pico (Ilha),900 ﾛ/m2,2018,,,,
Portalegre,788 ﾛ/m2,2018,,,,
Porto,1.632 ﾛ/m2,2018,,,,
Porto Santo (Ilha),1.148 ﾛ/m2,2018,,,,
Santar士,770 ﾛ/m2,2018,,,,
S黍 Miguel (ilha),914 ﾛ/m2,2018,,,,
Set彙al,1.320 ﾛ/m2,2018,,,,
Terceira (Ilha),842 ﾛ/m2,2018,,,,
Viana do Castelo,999 ﾛ/m2,2018,,,,
Vila Real,749 ﾛ/m2,2018,,,,
Viseu,735 ﾛ/m2,2018,,,,
Aveiro,880 ﾛ/m2,2017,,,,
Beja,779 ﾛ/m2,2017,,,,
Braga,800 ﾛ/m2,2017,,,,
Bragan溝,686 ﾛ/m2,2017,,,,
Castelo Branco,667 ﾛ/m2,2017,,,,
Coimbra,1.009 ﾛ/m2,2017,,,,
プora,889 ﾛ/m2,2017,,,,
Faial (Ilha),766 ﾛ/m2,2017,,,,
Faro,1.777 ﾛ/m2,2017,,,,
Guarda,636 ﾛ/m2,2017,,,,
Leiria,919 ﾛ/m2,2017,,,,
Lisboa,2.568 ﾛ/m2,2017,,,,
Madeira (Ilha),1.293 ﾛ/m2,2017,,,,
Pico (Ilha),822 ﾛ/m2,2017,,,,
Portalegre,722 ﾛ/m2,2017,,,,
Porto,1.299 ﾛ/m2,2017,,,,
Porto Santo (Ilha),1.383 ﾛ/m2,2017,,,,
Santar士,734 ﾛ/m2,2017,,,,
S黍 Miguel (ilha),946 ﾛ/m2,2017,,,,
Set彙al,1.153 ﾛ/m2,2017,,,,
Terceira (Ilha),896 ﾛ/m2,2017,,,,
Viana do Castelo,924 ﾛ/m2,2017,,,,
Vila Real,768 ﾛ/m2,2017,,,,
Viseu,747 ﾛ/m2,2017,,,,
Aveiro,813 ﾛ/m2,2016,,,,
Beja,770 ﾛ/m2,2016,,,,
Braga,735 ﾛ/m2,2016,,,,
Bragan溝,701 ﾛ/m2,2016,,,,
Castelo Branco,674 ﾛ/m2,2016,,,,
Coimbra,1.006 ﾛ/m2,2016,,,,
プora,908 ﾛ/m2,2016,,,,
Faial (Ilha),744 ﾛ/m2,2016,,,,
Faro,1.547 ﾛ/m2,2016,,,,
Guarda,616 ﾛ/m2,2016,,,,
Leiria,879 ﾛ/m2,2016,,,,
Lisboa,1.955 ﾛ/m2,2016,,,,
Madeira (Ilha),1.195 ﾛ/m2,2016,,,,
Portalegre,601 ﾛ/m2,2016,,,,
Porto,1.081 ﾛ/m2,2016,,,,
Porto Santo (Ilha),1.124 ﾛ/m2,2016,,,,
Santar士,735 ﾛ/m2,2016,,,,
S黍 Miguel (ilha),850 ﾛ/m2,2016,,,,
Set彙al,1.026 ﾛ/m2,2016,,,,
Terceira (Ilha),925 ﾛ/m2,2016,,,,
Viana do Castelo,948 ﾛ/m2,2016,,,,
Vila Real,826 ﾛ/m2,2016,,,,
Viseu,733 ﾛ/m2,2016,,,,
Aveiro,819 ﾛ/m2,2015,,,,
Beja,845 ﾛ/m2,2015,,,,
Braga,745 ﾛ/m2,2015,,,,
Bragan溝,662 ﾛ/m2,2015,,,,
Castelo Branco,713 ﾛ/m2,2015,,,,
Coimbra,1.133 ﾛ/m2,2015,,,,
プora,869 ﾛ/m2,2015,,,,
Faro,1.466 ﾛ/m2,2015,,,,
Guarda,688 ﾛ/m2,2015,,,,
Leiria,869 ﾛ/m2,2015,,,,
Lisboa,1.509 ﾛ/m2,2015,,,,
Madeira (Ilha),1.164 ﾛ/m2,2015,,,,
Portalegre,661 ﾛ/m2,2015,,,,
Porto,975 ﾛ/m2,2015,,,,
Porto Santo (Ilha),1.081 ﾛ/m2,2015,,,,
Santar士,732 ﾛ/m2,2015,,,,
S黍 Miguel (ilha),812 ﾛ/m2,2015,,,,
Set彙al,968 ﾛ/m2,2015,,,,
Terceira (Ilha),956 ﾛ/m2,2015,,,,
Viana do Castelo,945 ﾛ/m2,2015,,,,
Vila Real,792 ﾛ/m2,2015,,,,
Viseu,744 ﾛ/m2,2015,,,,
