01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1998,Malta,,,,,,x,
1998,Polónia,,,,,,x,
1998,Portugal,,,,,,,11199.00
1998,Roménia,,,,,,,1837.00
1998,Suécia,,,,,,r,27006.00
1999,Alemanha,,,,,,r,28126.00
1999,Áustria,,,,,,r,27714.00
1999,Bélgica,,,,,,,29691.00
1999,Bulgária,,,,,,x,
1999,Chéquia,,,,,,,4403.00
1999,Chipre,,,,,,,14014.00
1999,Croácia,,,,,,x,
1999,Dinamarca,,,,,,,35455.00
1999,Eslováquia,,,,,,r,3317.00
1999,Eslovénia,,,,,,r,12530.00
1999,Espanha,,,,,,r,18204.00
1999,Estónia,,,,,,,3650.00
1999,Finlândia,,,,,,,25242.00
1999,França,,,,,,r,24300.00
1999,Grécia,,,,,,r,12922.00
1999,Hungria,,,,,,r,4191.00
1999,Irlanda,,,,,,,25130.00
1999,Itália,,,,,,r,20345.00
1999,Letónia,,,,,,r,3064.00
1999,Lituânia,,,,,,x,
1999,Luxemburgo,,,,,,,37517.00
1999,Malta,,,,,,x,
1999,Polónia,,,,,,x,
1999,Portugal,,,,,,,11956.00
1999,Roménia,,,,,,,1487.00
1999,Suécia,,,,,,r,28471.00
2000,Alemanha,,,,,,r,28560.00
2000,Áustria,,,,,,r,28415.00
2000,Bélgica,,,,,,,30506.00
2000,Bulgária,,,,,,x,
2000,Chéquia,,,,,,,4902.00
2000,Chipre,,,,,,,15132.00
2000,Croácia,,,,,,x,
2000,Dinamarca,,,,,,,36423.00
2000,Eslováquia,,,,,,r,3862.00
2000,Eslovénia,,,,,,r,12936.00
2000,Espanha,,,,,,r,18526.00
2000,Estónia,,,,,,,4100.00
2000,Finlândia,,,,,,,26527.00
2000,França,,,,,,r,25004.00
2000,Grécia,,,,,,r,12916.00
2000,Hungria,,,,,,r,4734.00
2000,Irlanda,,,,,,,27022.00
2000,Itália,,,,,,r,21056.00
2000,Letónia,,,,,,r,3745.00
2000,Lituânia,,,,,,,3499.00
2000,Luxemburgo,,,,,,,39902.00
2000,Malta,,,,,,r,13358.00
2000,Polónia,,,,,,x,
2000,Portugal,,,,,,,12594.00
2000,Roménia,,,,,,,2143.00
2000,Suécia,,,,,,r,30810.00
2001,Alemanha,,,,,,r,29394.00
2001,Áustria,,,,,,r,28890.00
2001,Bélgica,,,,,,,31777.00
2001,Bulgária,,,,,,,1919.00
2001,Chéquia,,,,,,,5566.00
2001,Chipre,,,,,,,15798.00
2001,Croácia,,,,,,x,
2001,Dinamarca,,,,,,r,37430.00
2001,Eslováquia,,,,,,r,4013.00
2001,Eslovénia,,,,,,r,13717.00
2001,Espanha,,,,,,r,19070.00
2001,Estónia,,,,,,,4518.00
2001,Finlândia,,,,,,,27387.00
2001,França,,,,,,r,25620.00
2001,Grécia,,,,,,r,13441.00
2001,Hungria,,,,,,r,5674.00
2001,Irlanda,,,,,,,29139.00
2001,Itália,,,,,,r,21775.00
2001,Letónia,,,,,,r,3988.00
2001,Lituânia,,,,,,r,3894.00
2001,Luxemburgo,,,,,,,40916.00
2001,Malta,,,,,,r,14176.00
2001,Polónia,,,,,,r,7529.00
2001,Portugal,,,,,,,13129.00
2001,Roménia,,,,,,,2662.00
2001,Suécia,,,,,,r,28882.00
2002,Alemanha,,,,,,r,29917.00
2002,Áustria,,,,,,r,29752.00
2002,Bélgica,,,,,,,32985.00
2002,Bulgária,,,,,,,2048.00
2002,Chéquia,,,,,,,6613.00
2002,Chipre,,,,,,,16496.00
2002,Croácia,,,,,,,10387.00
2002,Dinamarca,,,,,,,39146.00
2002,Eslováquia,,,,,,r,4410.00
2002,Eslovénia,,,,,,r,14260.00
2002,Espanha,,,,,,r,19720.00
2002,Estónia,,,,,,,4927.00
2002,Finlândia,,,,,,,27980.00
2002,França,,,,,,r,26496.00
2002,Grécia,,,,,,r,14778.00
2002,Hungria,,,,,,r,6672.00
2002,Irlanda,,,,,,,30671.00
2002,Itália,,,,,,r,22186.00
2002,Letónia,,,,,,r,4011.00
2002,Lituânia,,,,,,r,4301.00
2002,Luxemburgo,,,,,,,42588.00
2002,Malta,,,,,,r,14529.00
2002,Polónia,,,,,,r,7381.00
2002,Portugal,,,,,,,13601.00
2002,Roménia,,,,,,,2592.00
2002,Suécia,,,,,,r,30041.00
2003,Alemanha,,,,,,r,30524.00
2003,Áustria,,,,,,r,30237.00
2003,Bélgica,,,,,,,33678.00
2003,Bulgária,,,,,,,2153.00
2003,Chéquia,,,,,,,6898.00
2003,Chipre,,,,,,,17481.00
2003,Croácia,,,,,,,10998.00
2003,Dinamarca,,,,,,r,40407.00
2003,Eslováquia,,,,,,r,4912.00
2003,Eslovénia,,,,,,r,14904.00
2003,Espanha,,,,,,r,20236.00
2003,Estónia,,,,,,,5485.00
2003,Finlândia,,,,,,,28752.00
2003,França,,,,,,r,27289.00
2003,Grécia,,,,,,r,16004.00
2003,Hungria,,,,,,r,7219.00
2003,Irlanda,,,,,,,32738.00
2003,Itália,,,,,,r,22754.00
2003,Letónia,,,,,,r,4108.00
2003,Lituânia,,,,,,r,4699.00
2003,Luxemburgo,,,,,,,43691.00
2003,Malta,,,,,,r,14469.00
2003,Polónia,,,,,,r,6567.00
2003,Portugal,,,,,,,14083.00
2003,Roménia,,,,,,,2745.00
2003,Suécia,,,,,,r,30950.00
2004,Alemanha,,,,,,r,30904.00
2004,Áustria,,,,,,r,31455.00
2004,Bélgica,,,,,,,34447.00
2004,Bulgária,,,,,,,2375.00
2004,Chéquia,,,,,,,7442.00
2004,Chipre,,,,,,,17851.00
2004,Croácia,,,,,,,11612.00
2004,Dinamarca,,,,,,,41952.00
2004,Eslováquia,,,,,,r,5499.00
2004,Eslovénia,,,,,,r,15784.00
2004,Espanha,,,,,,r,20673.00
2004,Estónia,,,,,,,6161.00
2004,Finlândia,,,,,,,29774.00
2004,França,,,,,,r,28260.00
2004,Grécia,,,,,,r,16831.00
2004,Hungria,,,,,,r,8180.00
2004,Irlanda,,,,,,,34450.00
2004,Itália,,,,,,r,24123.00
2004,Letónia,,,,,,r,4601.00
2004,Lituânia,,,,,,r,5210.00
2004,Luxemburgo,,,,,,,45777.00
2004,Malta,,,,,,r,14725.00
2004,Polónia,,,,,,r,6560.00
2004,Portugal,,,,,,,14401.00
2004,Roménia,,,,,,,3001.00
2004,Suécia,,,,,,r,32276.00
2005,Alemanha,,,,,,r,31347.00
2005,Áustria,,,,,,r,32376.00
2005,Bélgica,,,,,,,35009.00
2005,Bulgária,,,,,,,2681.00
2005,Chéquia,,,,,,,8310.00
2005,Chipre,,,,,,,19086.00
2005,Croácia,,,,,,,12411.00
2005,Dinamarca,,,,,,r,43085.00
2005,Eslováquia,,,,,,r,6194.00
2005,Eslovénia,,,,,,r,16662.00
2005,Espanha,,,,,,r,21505.00
2005,Estónia,,,,,,,6831.00
2005,Finlândia,,,,,,,30922.00
2005,França,,,,,,r,29248.00
2005,Grécia,,,,,,r,18078.00
2005,Hungria,,,,,,r,8997.00
2005,Irlanda,,,,,,,36379.00
2005,Itália,,,,,,r,24802.00
2005,Letónia,,,,,,r,5604.00
2005,Lituânia,,,,,,r,5879.00
2005,Luxemburgo,,,,,,,47703.00
2005,Malta,,,,,,r,14979.00
2005,Polónia,,,,,,r,7520.00
2005,Portugal,,,,,,,14873.00
2005,Roménia,,,,,,,4226.00
2005,Suécia,,,,,,r,32868.00
2006,Alemanha,,,,,,r,31999.00
2006,Áustria,,,,,,r,33570.00
2006,Bélgica,,,,,,,36327.00
2006,Bulgária,,,,,,,2797.00
2006,Chéquia,,,,,,,9216.00
2006,Chipre,,,,,,,19899.00
2006,Croácia,,,,,,,12873.00
2006,Dinamarca,,,,,,r,44857.00
2006,Eslováquia,,,,,,r,6981.00
2006,Eslovénia,,,,,,r,17515.00
2006,Espanha,,,,,,r,22153.00
2006,Estónia,,,,,,,7853.00
2006,Finlândia,,,,,,,31958.00
2006,França,,,,,,r,30123.00
2006,Grécia,,,,,,r,19078.00
2006,Hungria,,,,,,r,8879.00
2006,Irlanda,,,,,,,37694.00
2006,Itália,,,,,,r,25634.00
2006,Letónia,,,,,,r,6831.00
2006,Lituânia,,,,,,r,7117.00
2006,Luxemburgo,,,,,,,49544.00
2006,Malta,,,,,,r,15779.00
2006,Polónia,,,,,,r,7961.00
2006,Portugal,,,,,,,15100.00
2006,Roménia,,,,,,,4871.00
2006,Suécia,,,,,,r,34219.00
2007,Alemanha,,,,,,r,32468.00
2007,Áustria,,,,,,r,34548.00
2007,Bélgica,,,,,,,37244.00
2007,Bulgária,,,,,,,3247.00
2007,Chéquia,,,,,,,9986.00
2007,Chipre,,,,,,,20012.00
2007,Croácia,,,,,,,13530.00
2007,Dinamarca,,,,,,r,46224.00
2007,Eslováquia,,,,,,r,8411.00
2007,Eslovénia,,,,,,r,18601.00
2007,Espanha,,,,,,r,23176.00
2007,Estónia,,,,,,,9866.00
2007,Finlândia,,,,,,,33003.00
2007,França,,,,,,r,30873.00
2007,Grécia,,,,,,r,19727.00
2007,Hungria,,,,,,r,9889.00
2007,Irlanda,,,,,,,39984.00
2007,Itália,,,,,,r,26233.00
2007,Letónia,,,,,,r,9206.00
2007,Lituânia,,,,,,r,8020.00
2007,Luxemburgo,,,,,,,51991.00
2007,Malta,,,,,,r,16334.00
2007,Polónia,,,,,,r,8673.00
2007,Portugal,,,,,,,15689.00
2007,Roménia,,,,,,,5392.00
2007,Suécia,,,,,,r,35702.00
2008,Alemanha,,,,,,r,33472.00
2008,Áustria,,,,,,r,35971.00
2008,Bélgica,,,,,,,38783.00
2008,Bulgária,,,,,,,3678.00
2008,Chéquia,,,,,,,11716.00
2008,Chipre,,,,,,,20665.00
2008,Croácia,,,,,,,14340.00
2008,Dinamarca,,,,,,r,48117.00
2008,Eslováquia,,,,,,r,9582.00
2008,Eslovénia,,,,,,r,20017.00
2008,Espanha,,,,,,r,24836.00
2008,Estónia,,,,,,,10820.00
2008,Finlândia,,,,,,,34359.00
2008,França,,,,,,r,31662.00
2008,Grécia,,,,,,r,20225.00
2008,Hungria,,,,,,r,10610.00
2008,Irlanda,,,,,,,42228.00
2008,Itália,,,,,,r,27046.00
2008,Letónia,,,,,,r,10848.00
2008,Lituânia,,,,,,r,9069.00
2008,Luxemburgo,,,,,,,53321.00
2008,Malta,,,,,,r,17107.00
2008,Polónia,,,,,,r,10250.00
2008,Portugal,,,,,,,16099.00
2008,Roménia,,,,,,,6864.00
2008,Suécia,,,,,,r,36213.00
2009,Alemanha,,,,,,r,33582.00
2009,Áustria,,,,,,r,36802.00
2009,Bélgica,,,,,,r,39019.00
2009,Bulgária,,,,,,,4067.00
2009,Chéquia,,,,,,,11118.00
2009,Chipre,,,,,,,21687.00
2009,Croácia,,,,,,,14132.00
2009,Dinamarca,,,,,,r,50036.00
2009,Eslováquia,,,,,,r,10309.00
2009,Eslovénia,,,,,,r,20428.00
2009,Espanha,,,,,,r,26169.00
2009,Estónia,,,,,,,10472.00
2009,Finlândia,,,,,,,35380.00
2009,França,,,,,,r,32279.00
2009,Grécia,,,,,,r,21191.00
2009,Hungria,,,,,,r,9372.00
2009,Irlanda,,,,,,,42608.00
2009,Itália,,,,,,r,27174.00
2009,Letónia,,,,,,r,9434.00
2009,Lituânia,,,,,,r,8232.00
2009,Luxemburgo,,,,,,,53607.00
2009,Malta,,,,,,r,17430.00
2009,Polónia,,,,,,r,8557.00
2009,Portugal,,,,,,,16519.00
2009,Roménia,,,,,,,5689.00
2009,Suécia,,,,,,r,33642.00
2010,Alemanha,,,,,,r,34449.00
2010,Áustria,,,,,,r,37220.00
2010,Bélgica,,,,,,r,39696.00
2010,Bulgária,,,,,,,4567.00
2010,Chéquia,,,,,,,12040.00
2010,Chipre,,,,,,,22222.00
2010,Croácia,,,,,,r,14573.00
2010,Dinamarca,,,,,,r,51665.00
2010,Eslováquia,,,,,,r,10872.00
2010,Eslovénia,,,,,,r,21413.00
2010,Espanha,,,,,,r,26453.00
2010,Estónia,,,,,,,10827.00
2010,Finlândia,,,,,,r,36861.00
2010,França,,,,,,r,33303.00
2010,Grécia,,,,,,r,20722.00
2010,Hungria,,,,,,r,10044.00
2010,Irlanda,,,,,,,42332.00
2010,Itália,,,,,,r,27783.00
2010,Letónia,,,,,,r,8880.00
2010,Lituânia,,,,,,r,8354.00
2010,Luxemburgo,,,,,,,54797.00
2010,Malta,,,,,,r,18435.00
2010,Polónia,,,,,,r,10140.00
2010,Portugal,,,,,,,16750.00
2010,Roménia,,,,,,,6080.00
2010,Suécia,,,,,,r,38342.00
2011,Alemanha,,,,,,r,35718.00
2011,Áustria,,,,,,r,37970.00
2011,Bélgica,,,,,,r,41256.00
2011,Bulgária,,,,,,,4866.00
2011,Chéquia,,,,,,r,12688.00
2011,Chipre,,,,,,,22645.00
2011,Croácia,,,,,,r,14776.00
2011,Dinamarca,,,,,,r,52512.00
2011,Eslováquia,,,,,,r,11190.00
2011,Eslovénia,,,,,,r,21667.00
2011,Espanha,,,,,,r,26589.00
2011,Estónia,,,,,,,11086.00
2011,Finlândia,,,,,,r,38050.00
2011,França,,,,,,r,33879.00
2011,Grécia,,,,,,r,20021.00
2011,Hungria,,,,,,r,10381.00
2011,Irlanda,,,,,,r,44130.00
2011,Itália,,,,,,r,28241.00
2011,Letónia,,,,,,r,9114.00
2011,Lituânia,,,,,,r,8926.00
2011,Luxemburgo,,,,,,,56881.00
2011,Malta,,,,,,r,19271.00
2011,Polónia,,,,,,r,10374.00
2011,Portugal,,,,,,r,16653.00
2011,Roménia,,,,,,,6213.00
2011,Suécia,,,,,,r,41691.00
2012,Alemanha,,,,,,r,36751.00
2012,Áustria,,,,,,r,39105.00
2012,Bélgica,,,,,,r,42567.00
2012,Bulgária,,,,,,,5266.00
2012,Chéquia,,,,,,r,12670.00
2012,Chipre,,,,,,,22976.00
2012,Croácia,,,,,,r,14711.00
2012,Dinamarca,,,,,,r,53817.00
2012,Eslováquia,,,,,,r,11431.00
2012,Eslovénia,,,,,,r,21268.00
2012,Espanha,,,,,,r,26482.00
2012,Estónia,,,,,,,11740.00
2012,Finlândia,,,,,,r,39086.00
2012,França,,,,,,r,34517.00
2012,Grécia,,,,,,r,19056.00
2012,Hungria,,,,,,r,10246.00
2012,Irlanda,,,,,,r,44314.00
2012,Itália,,,,,,r,28079.00
2012,Letónia,,,,,,r,9919.00
2012,Lituânia,,,,,,r,9350.00
2012,Luxemburgo,,,,,,,57793.00
2012,Malta,,,,,,r,19905.00
2012,Polónia,,,,,,r,10429.00
2012,Portugal,,,,,,r,16230.00
2012,Roménia,,,,,,,6094.00
2012,Suécia,,,,,,r,44359.00
2013,Alemanha,,,,,,r,37739.00
2013,Áustria,,,,,,r,40037.00
2013,Bélgica,,,,,,r,43435.00
2013,Bulgária,,,,,,,5704.00
2013,Chéquia,,,,,,r,12260.00
2013,Chipre,,,,,,,21594.00
2013,Croácia,,,,,,r,14556.00
2013,Dinamarca,,,,,,r,54513.00
2013,Eslováquia,,,,,,r,11702.00
2013,Eslovénia,,,,,,r,21387.00
2013,Espanha,,,,,,r,26705.00
2013,Estónia,,,,,,,12382.00
2013,Finlândia,,,,,,r,39652.00
2013,França,,,,,,r,35169.00
2013,Grécia,,,,,,r,17523.00
2013,Hungria,,,,,,r,10027.00
2013,Irlanda,,,,,,r,43847.00
2013,Itália,,,,,,r,28496.00
2013,Letónia,,,,,,r,10319.00
2013,Lituânia,,,,,,r,9801.00
2013,Luxemburgo,,,,,,,59332.00
2013,Malta,,,,,,r,20545.00
2013,Polónia,,,,,,r,10556.00
2013,Portugal,,,,,,r,16624.00
2013,Roménia,,,,,,,6402.00
2013,Suécia,,,,,,r,45380.00
2014,Alemanha,,,,,,r,38692.00
2014,Áustria,,,,,,r,40927.00
2014,Bélgica,,,,,,r,43898.00
2014,Bulgária,,,,,,,6025.00
2014,Chéquia,,,,,,r,11916.00
2014,Chipre,,,,,,,20947.00
2014,Croácia,,,,,,r,13705.00
2014,Dinamarca,,,,,,r,56005.00
2014,Eslováquia,,,,,,,11928.00
2014,Eslovénia,,,,,,r,21752.00
2014,Espanha,,,,,,r,26701.00
2014,Estónia,,,,,,,13112.00
2014,Finlândia,,,,,,r,40190.00
2014,França,,,,,,r,35447.00
2014,Grécia,,,,,,r,17052.00
2014,Hungria,,,,,,r,9621.00
2014,Irlanda,,,,,,r,44195.00
2014,Itália,,,,,,r,28716.00
2014,Letónia,,,,,,r,11212.00
2014,Lituânia,,,,,,r,10214.00
2014,Luxemburgo,,,,,,,60639.00
2014,Malta,,,,,,r,21389.00
2014,Polónia,,,,,,r,10827.00
2014,Portugal,,,,,,r,16379.00
2014,Roménia,,,,,,,6812.00
2014,Suécia,,,,,,r,44097.00
2015,Alemanha,,,,,,r,39970.00
2015,Áustria,,,,,,r,41868.00
2015,Bélgica,,,,,,r,44132.00
2015,Bulgária,,,,,,,6374.00
2015,Chéquia,,,,,,r,12396.00
2015,Chipre,,,,,,,20699.00
2015,Croácia,,,,,,r,13897.00
2015,Dinamarca,,,,,,r,56914.00
2015,Eslováquia,,,,,,r,12370.00
2015,Eslovénia,,,,,,r,22098.00
2015,Espanha,,,,,,r,27175.00
2015,Estónia,,,,,,,13639.00
2015,Finlândia,,,,,,r,40544.00
2015,França,,,,,,r,35837.00
2015,Grécia,,,,,,r,17002.00
2015,Hungria,,,,,,r,9735.00
2015,Irlanda,,,,,,r,44667.00
2015,Itália,,,,,,r,29083.00
2015,Letónia,,,,,,r,12075.00
2015,Lituânia,,,,,,r,10775.00
2015,Luxemburgo,,,,,,,61396.00
2015,Malta,,,,,,r,22488.00
2015,Polónia,,,,,,r,11076.00
2015,Portugal,,,,,,r,16451.00
2015,Roménia,,,,,,,7051.00
2015,Suécia,,,,,,r,43953.00
2016,Alemanha,,,,,,r,40902.00
2016,Áustria,,,,,,r,42876.00
2016,Bélgica,,,,,,r,45076.00
2016,Bulgária,,,,,,,6767.00
2016,Chéquia,,,,,,r,13141.00
2016,Chipre,,,,,,,20759.00
2016,Croácia,,,,,,r,14215.00
2016,Dinamarca,,,,,,r,57612.00
2016,Eslováquia,,,,,,r,12725.00
2016,Eslovénia,,,,,,r,22834.00
2016,Espanha,,,,,,r,27062.00
2016,Estónia,,,,,,,14540.00
2016,Finlândia,,,,,,r,40985.00
2016,França,,,,,,r,36220.00
2016,Grécia,,,,,,r,16540.00
2016,Hungria,,,,,,r,9916.00
2016,Irlanda,,,,,,r,45629.00
2016,Itália,,,,,,r,29299.00
2016,Letónia,,,,,,r,12937.00
2016,Lituânia,,,,,,r,11440.00
2016,Luxemburgo,,,,,,,62037.00
2016,Malta,,,,,,r,23169.00
2016,Polónia,,,,,,r,11127.00
2016,Portugal,,,,,,r,16743.00
2016,Roménia,,,,,,,8016.00
2016,Suécia,,,,,,r,44332.00
2017,Alemanha,,,,,,r,42050.00
2017,Áustria,,,,,,r,43579.00
2017,Bélgica,,,,,,r,45364.00
2017,Bulgária,,,,,,,7418.00
2017,Chéquia,,,,,,r,14542.00
2017,Chipre,,,,,,,21124.00
2017,Croácia,,,,,,r,14411.00
2017,Dinamarca,,,,,,r,58715.00
2017,Eslováquia,,,,,,r,13317.00
2017,Eslovénia,,,,,,r,23718.00
2017,Espanha,,,,,,r,27146.00
2017,Estónia,,,,,,,15543.00
2017,Finlândia,,,,,,r,41520.00
2017,França,,,,,,r,37079.00
2017,Grécia,,,,,,r,16575.00
2017,Hungria,,,,,,r,11048.00
2017,Irlanda,,,,,,r,46719.00
2017,Itália,,,,,,r,29426.00
2017,Letónia,,,,,,r,13828.00
2017,Lituânia,,,,,,r,12534.00
2017,Luxemburgo,,,,,,,64316.00
2017,Malta,,,,,,r,24072.00
2017,Polónia,,,,,,r,12065.00
2017,Portugal,,,,,,r,17116.00
2017,Roménia,,,,,,,8986.00
2017,Suécia,,,,,,r,44559.00
2018,Alemanha,,,,,,r,43340.00
2018,Áustria,,,,,,r,44646.00
2018,Bélgica,,,,,,r,46422.00
2018,Bulgária,,,,,,,8127.00
2018,Chéquia,,,,,,r,16137.00
2018,Chipre,,,,,,r,21472.00
2018,Croácia,,,,,,r,15115.00
2018,Dinamarca,,,,,,r,59519.00
2018,Eslováquia,,,,,,r,13997.00
2018,Eslovénia,,,,,,r,24525.00
2018,Espanha,,,,,,r,27426.00
2018,Estónia,,,,,,,17086.00
2018,Finlândia,,,,,,r,42321.00
2018,França,,,,,,r,37583.00
2018,Grécia,,,,,,r,15920.00
2018,Hungria,,,,,,r,11633.00
2018,Irlanda,,,,,,r,48211.00
2018,Itália,,,,,,r,29786.00
2018,Letónia,,,,,,r,14833.00
2018,Lituânia,,,,,,r,13486.00
2018,Luxemburgo,,,,,,,65570.00
2018,Malta,,,,,,r,25868.00
2018,Polónia,,,,,,r,13057.00
2018,Portugal,,,,,,r,17601.00
2018,Roménia,,,,,,,11337.00
2018,Suécia,,,,,,r,43003.00
2019,Alemanha,,,,,,r,44827.00
2019,Áustria,,,,,,r,45727.00
2019,Bélgica,,,,,,r,47550.00
2019,Bulgária,,,,,,r,8699.00
2019,Chéquia,,,,,,r,17375.00
2019,Chipre,,,,,,r,22397.00
2019,Croácia,,,,,,r,15640.00
2019,Dinamarca,,,,,,r,60195.00
2019,Eslováquia,,,,,,r,14857.00
2019,Eslovénia,,,,,,r,25700.00
2019,Espanha,,,,,,r,28176.00
2019,Estónia,,,,,,,18437.00
2019,Finlândia,,,,,,r,43483.00
2019,França,,,,,,r,38305.00
2019,Grécia,,,,,,r,15967.00
2019,Hungria,,,,,,r,12658.00
2019,Irlanda,,,,,,r,50194.00
2019,Itália,,,,,,r,30194.00
2019,Letónia,,,,,,r,15491.00
2019,Lituânia,,,,,,r,18337.00
2019,Luxemburgo,,,,,,,66702.00
2019,Malta,,,,,,r,26853.00
2019,Polónia,,,,,,r,13640.00
2019,Portugal,,,,,,r,18518.00
2019,Roménia,,,,,,,12437.00
2019,Suécia,,,,,,r,43073.00
2020,Alemanha,,,,,,r,44377.00
2020,Áustria,,,,,,r,46460.00
2020,Bélgica,,,,,,r,46543.00
2020,Bulgária,,,,,,r,9299.00
2020,Chéquia,,,,,,r,17222.00
2020,Chipre,,,,,,r,22342.00
2020,Croácia,,,,,,r,15661.00
2020,Dinamarca,,,,,,r,61392.00
2020,Eslováquia,,,,,,r,15346.00
2020,Eslovénia,,,,,,r,26610.00
2020,Espanha,,,,,,r,27844.00
2020,Estónia,,,,,,r,19238.00
2020,Finlândia,,,,,,r,43805.00
2020,França,,,,,,r,36800.00
2020,Grécia,,,,,,r,15859.00
2020,Hungria,,,,,,r,12270.00
2020,Irlanda,,,,,,r,51100.00
2020,Itália,,,,,,r,28815.00
2020,Letónia,,,,,,r,15887.00
2020,Lituânia,,,,,,r,19476.00
2020,Luxemburgo,,,,,,,67748.00
2020,Malta,,,,,,r,27016.00
2020,Polónia,,,,,,r,13862.00
2020,Portugal,,,,,,r,18860.00
2020,Roménia,,,,,,,12681.00
2020,Suécia,,,,,,r,44214.00
2021,Alemanha,,,,,,r,45727.00
2021,Áustria,,,,,,r,48166.00
2021,Bélgica,,,,,,r,49696.00
2021,Bulgária,,,,,,,10345.00
2021,Chéquia,,,,,,r,18875.00
2021,Chipre,,,,,,r,23552.00
2021,Croácia,,,,,,r,16501.00
2021,Dinamarca,,,,,,r,63003.00
2021,Eslováquia,,,,,,r,16242.00
2021,Eslovénia,,,,,,r,28654.00
2021,Espanha,,,,,,r,29383.00
2021,Estónia,,,,,,r,21120.00
2021,Finlândia,,,,,,r,45351.00
2021,França,,,,,,r,38862.00
2021,Grécia,,,,,,r,16018.00
2021,Hungria,,,,,,r,13137.00
2021,Irlanda,,,,,,r,52638.00
2021,Itália,,,,,,r,30719.00
2021,Letónia,,,,,,r,17018.00
2021,Lituânia,,,,,,r,21720.00
